arm,iter,batch_wall_ms,call_max_ms,call_p50_ms
baseline,0,236.97119999997085,227.74702966193115,90.0977639505618
baseline,1,234.63169999740785,237.76252867023166,85.2058917087072
baseline,2,246.03750000096625,241.14590427824825,90.56429518294826
baseline,3,261.2003000031109,253.45245444988564,100.99267439751746
baseline,4,247.86880000465317,242.56603591770764,87.75347034496802
baseline,5,249.59479999961331,243.35299087741976,90.99452244817802
baseline,6,232.75650000141468,233.08831965258207,102.4800373910007
baseline,7,249.4968000028166,234.68440344493845,95.47128337139216
baseline,8,212.67380000062985,225.98099114864118,96.44058140866872
baseline,9,257.512800002587,242.26256228507802,97.13520044292339
baseline,10,251.06329999834998,247.3934404866918,97.34529047383454
baseline,11,247.20199999865144,233.41391240409757,98.65407767671985
baseline,12,250.74590000440367,236.88480844731748,89.49058460754203
baseline,13,228.96480000053998,240.05640421842728,96.844586725012
baseline,14,208.64820000133477,232.5943095637717,96.73231500793653
baseline,15,262.5368999943021,241.46834270938078,94.68261453186946
baseline,16,259.0773000047193,245.23435206029043,98.19565119079988
baseline,17,262.5442999997176,254.87233687342686,88.6766967800065
baseline,18,251.91220000124304,234.61363384577595,92.14403972078779
baseline,19,243.927800001984,247.40526198774077,96.09900467741359
baseline,20,243.3478999955696,238.9216448037768,85.63871840972539
baseline,21,248.70999999984633,247.01357306804545,87.17437235253333
baseline,22,250.14440000086324,244.19142422014247,86.23439403995383
baseline,23,242.98709999857238,235.96143453630538,93.94550224721876
baseline,24,258.1382999997004,253.95507052841265,87.5167164003729
baseline,25,230.5999000018346,242.5238831615902,97.6809155606996
baseline,26,239.16340000141645,219.9410950240613,102.4710052468087
baseline,27,212.49489999900106,215.7523324138263,88.651070265253
baseline,28,219.68509999715025,231.943714419847,95.54705991987699
baseline,29,246.89560000115307,247.06591236596864,102.94073662667843
baseline,30,228.41170000174316,214.00470392045554,87.08633965850258
baseline,31,256.7131000032532,256.12406114043563,101.35401794180055
baseline,32,262.8621000039857,252.32641218933605,92.93436209875068
baseline,33,219.30710000015097,226.1082371483655,88.69420232111881
baseline,34,228.98170000553364,245.17658376707797,102.94064198743804
baseline,35,239.9139999979525,238.81927658934967,95.76361068942113
baseline,36,249.0451999983634,257.2079955532762,90.46169850557376
baseline,37,235.91669999586884,245.65967076849844,96.09306819710942
baseline,38,211.79899999697227,213.51208638665614,100.32710916861504
baseline,39,233.1477999978233,222.760708767206,100.46841887902069
treatment,0,98.69759999855887,26.04888971540993,16.396235143925153
treatment,1,82.37050000025192,26.035580088503416,16.27858841579439
treatment,2,77.18400000157999,26.04078991700746,16.71424303285743
treatment,3,71.15470000280766,25.938511998748957,16.23426679113885
treatment,4,106.37400000268826,25.786469295891095,16.49674917057926
treatment,5,70.0825999956578,25.83518470937697,16.910269735650722
treatment,6,74.21859999885783,25.990917520575003,16.2440378831148
treatment,7,100.10519999923417,25.658951438779596,16.217898874071054
treatment,8,69.42939999862574,25.41555028151526,17.383575286217805
treatment,9,80.01299999887124,25.81860675630628,16.746378952896322
treatment,10,75.98649999999907,25.611476595434763,17.269170101813817
treatment,11,82.27389999956358,26.03265149035357,16.45020334395851
treatment,12,77.36379999550991,24.939880466796538,16.46957326003145
treatment,13,99.6344000013778,25.62800900650248,17.07247529606402
treatment,14,73.49589999648742,26.233043904342203,16.341389695417078
treatment,15,82.87489999929676,26.280112665628494,16.348257619554232
treatment,16,102.40689999773167,25.23362708767779,16.418175162475023
treatment,17,71.28940000256989,25.286783297318884,16.64936628011719
treatment,18,103.33340000215685,24.915627000468923,16.93115588374847
treatment,19,80.45169999968493,25.699524040919243,16.92961291496121
treatment,20,76.78569999552565,25.185328446210388,17.091786991642497
treatment,21,75.47080000222195,26.043348404250295,16.436114147023407
treatment,22,79.58749999670545,25.416060566686976,16.395471387474913
treatment,23,78.31420000002254,25.665835805382066,18.08728206903989
treatment,24,98.31560000020545,26.04427233090828,16.279457159001833
treatment,25,80.74779999878956,26.046204208852544,16.80980948855205
treatment,26,82.76830000249902,24.418576423633336,16.536852900787146
treatment,27,78.88520000415156,26.28276365258689,17.257270824095492
treatment,28,98.09469999891007,26.1117407019359,16.24619063480827
treatment,29,72.90619999548653,25.689914685364265,16.44744634792538
treatment,30,76.4428999973461,26.356368939982833,16.320479280950867
treatment,31,79.37659999879543,24.96490724760387,17.932534876527612
treatment,32,79.04129999951692,24.732793476476065,16.24458816487308
treatment,33,82.12649999768473,24.866471309293825,16.839495029252575
treatment,34,80.51479999994626,25.47489750723971,16.65805913744287
treatment,35,79.149299999699,26.15503915469249,18.07487152891114
treatment,36,74.14760000392562,25.740489770590766,17.36231846463626
treatment,37,103.6422000033781,26.158149040820607,16.24916284185704
treatment,38,67.13699999818346,23.71682947325715,16.47429599455159
treatment,39,77.22780000040075,25.46812441123738,18.00780630357475
